Algorithm,Variant,Family,Makespan
Decima,Original Algo + Motifs,STENCIL,253.75
Decima,Original Algo + Motifs,MOTIF_JOIN,521.0
Decima,Original Algo + Motifs,WS,804.0
Decima,Original Algo + Motifs,LU,455.0
Decima,Original Algo + Motifs,CNN_LIKE,431.0
Decima,Original Algo + Motifs,BA,308.25
Decima,Original Algo + Motifs,GEMM,493.0
Decima,Original Algo + Motifs,CHOLESKY,244.0
Decima,Original Algo + Motifs,AES_LIKE,378.0
Decima,Original Algo + BO,SPARSE_SPMV,400.4
Decima,Original Algo + BO,FFT,223.33
Decima,Original Algo + BO,ER,247.0
Decima,Original Algo + BO,STENCIL,218.5
Decima,Original Algo + BO,MOTIF_JOIN,510.0
Decima,Original Algo + BO,WS,803.5
Decima,Original Algo + BO,LU,422.5
Decima,Original Algo + BO,CNN_LIKE,427.0
Decima,Original Algo + BO,BA,313.75
Decima,Original Algo + BO,GEMM,491.0
Decima,Original Algo + BO,CHOLESKY,239.0
Decima,Original Algo + BO,AES_LIKE,327.0
Decima,Original Algo + Motifs + BO,SPARSE_SPMV,400.4
Decima,Original Algo + Motifs + BO,FFT,250.33
Decima,Original Algo + Motifs + BO,ER,249.0
Decima,Original Algo + Motifs + BO,STENCIL,241.0
Decima,Original Algo + Motifs + BO,MOTIF_JOIN,521.0
Decima,Original Algo + Motifs + BO,WS,809.0
Decima,Original Algo + Motifs + BO,LU,431.5
Decima,Original Algo + Motifs + BO,CNN_LIKE,435.0
Decima,Original Algo + Motifs + BO,BA,342.25
Decima,Original Algo + Motifs + BO,GEMM,490.0
Decima,Original Algo + Motifs + BO,CHOLESKY,239.0
Decima,Original Algo + Motifs + BO,AES_LIKE,374.0
Decima,Original Algo + Configs + BO (LLM for Weight Generation),SPARSE_SPMV,399.4
Decima,Original Algo + Configs + BO (LLM for Weight Generation),FFT,223.33
Decima,Original Algo + Configs + BO (LLM for Weight Generation),ER,240.5
Decima,Original Algo + Configs + BO (LLM for Weight Generation),STENCIL,216.0
Decima,Original Algo + Configs + BO (LLM for Weight Generation),MOTIF_JOIN,512.0
Decima,Original Algo + Configs + BO (LLM for Weight Generation),WS,807.0
Decima,Original Algo + Configs + BO (LLM for Weight Generation),LU,423.0
Decima,Original Algo + Configs + BO (LLM for Weight Generation),CNN_LIKE,427.0
Decima,Original Algo + Configs + BO (LLM for Weight Generation),BA,306.5
Decima,Original Algo + Configs + BO (LLM for Weight Generation),GEMM,489.0
Decima,Original Algo + Configs + BO (LLM for Weight Generation),CHOLESKY,243.0
Decima,Original Algo + Configs + BO (LLM for Weight Generation),AES_LIKE,372.0
LLM,Original Algo,SPARSE_SPMV,402.4
LLM,Original Algo,FFT,253.0
LLM,Original Algo,ER,249.0
LLM,Original Algo,STENCIL,241.25
LLM,Original Algo,MOTIF_JOIN,521.0
LLM,Original Algo,WS,805.5
LLM,Original Algo,LU,447.5
LLM,Original Algo,CNN_LIKE,431.0
LLM,Original Algo,BA,300.5
LLM,Original Algo,GEMM,488.0
LLM,Original Algo,CHOLESKY,242.0
LLM,Original Algo,AES_LIKE,366.0
LLM,Original Algo + Motifs,SPARSE_SPMV,408.2
LLM,Original Algo + Motifs,FFT,265.67
LLM,Original Algo + Motifs,ER,262.25
LLM,Original Algo + Motifs,STENCIL,254.5
LLM,Original Algo + Motifs,MOTIF_JOIN,521.0
LLM,Original Algo + Motifs,WS,805.5
LLM,Original Algo + Motifs,LU,452.5
LLM,Original Algo + Motifs,CNN_LIKE,431.0
LLM,Original Algo + Motifs,BA,302.0
LLM,Original Algo + Motifs,GEMM,498.0
LLM,Original Algo + Motifs,CHOLESKY,242.0
LLM,Original Algo + Motifs,AES_LIKE,366.0
LLM,Original Algo + BO,SPARSE_SPMV,402.0
LLM,Original Algo + BO,FFT,230.0
LLM,Original Algo + BO,ER,246.0
LLM,Original Algo + BO,STENCIL,217.0
LLM,Original Algo + BO,MOTIF_JOIN,510.0
LLM,Original Algo + BO,WS,803.5
LLM,Original Algo + BO,LU,425.0
LLM,Original Algo + BO,CNN_LIKE,427.0
LLM,Original Algo + BO,BA,309.75
LLM,Original Algo + BO,GEMM,489.0
LLM,Original Algo + BO,CHOLESKY,249.0
LLM,Original Algo + BO,AES_LIKE,342.0
LLM,Original Algo + Motifs + BO,SPARSE_SPMV,400.4
LLM,Original Algo + Motifs + BO,FFT,239.0
LLM,Original Algo + Motifs + BO,ER,241.75
LLM,Original Algo + Motifs + BO,STENCIL,217.5
LLM,Original Algo + Motifs + BO,MOTIF_JOIN,512.0
LLM,Original Algo + Motifs + BO,WS,810.0
LLM,Original Algo + Motifs + BO,LU,429.0
LLM,Original Algo + Motifs + BO,CNN_LIKE,427.0
LLM,Original Algo + Motifs + BO,BA,334.75
LLM,Original Algo + Motifs + BO,GEMM,488.0
LLM,Original Algo + Motifs + BO,CHOLESKY,236.0
LLM,Original Algo + Motifs + BO,AES_LIKE,344.0
